"gene_name","gene_id","contig","location","omim_id","hgnc_id","unigene_id","ensembl_id","pharmgkb_id","hprd_id","homologene_id","pubmed_id"
"HSPB2","3316","NC_000011.9","111783460..111784817","602179","5247","709660","ENSG00000170276","-","HPRD:03712","68189","17306351"
"HSPB8","26353","NC_000012.11","119616595..119632551","608014","30171","400095","ENSG00000152137","-","HPRD:06420","8654","16353136"
"HSPD1","3329","NC_000002.11","198351308..198364998 complement","118190","5261","595053","ENSG00000144381","-","HPRD:00318","1626","17306351"
"HUWE1","10075","NC_000023.10","53559063..53713673 complement","300697","30892","136905","ENSG00000086758","PA12839456","HPRD:06608","45994","15047212"
"HYAL1","3373","NC_000003.11","50337320..50349812 complement","607071","5320","75619","ENSG00000114378","-","HPRD:06146","5277","17054779"
"ICOS","29851","NC_000002.11","204801503..204826300","604558","5351","56247","ENSG00000163600","-","HPRD:09196","8097","18337305"
"IER5","51278","NC_000001.10","181057638..181059979","607177","5393","725197","ENSG00000162783","-","HPRD:06210","7778","15047212"
"IFI16","3428","NC_000001.10","158979682..159024945","147586","5395","380250","ENSG00000163565","-","HPRD:00969","117707","16353136"
"IFI6","2537","NC_000001.10","27992572..27998724 complement","147572","4054","523847","ENSG00000126709","-","HPRD:00959","49720","18217980"
"IFITM1","8519","NC_000011.9","313991..315272","604456","5412","458414","ENSG00000185885","-","HPRD:05122","74501","20099975"
"IFNG","3458","NC_000012.11","68548550..68553521 complement","147570","5438","856","ENSG00000111537","PA29674 ","HPRD:00957","55526","18337305"
"IGF1","3479","NC_000012.11","102789645..102874378 complement","147440","5464","160562","ENSG00000017427","-","HPRD:00936","515","17709267"
"IGF2","3481","NC_000011.9","2150347..2170833 complement","147470","5466","718427","ENSG00000129965;  ENSG00000167244","PA29699","HPRD:00939","510","17709267"
"IGFBP2","3485","NC_000002.11","217498127..217529159","146731","5471","438102","ENSG00000115457","-","HPRD:00898","499","15771902"
"IGFBP3","3486","NC_000007.13","45951844..45960871 complement","146732","5472","450230","ENSG00000146674","-","HPRD:00899","500","17709267"
"IGFBP5","3488","NC_000002.11","217536828..217560272 complement","146734","5474","607212","ENSG00000115461","-","HPRD:00901","56489","15771902"
"IGFBP6","3489","NC_000012.11","53491436..53496128","146735","5475","274313","ENSG00000167779","-","HPRD:00902","1641","15771902"
"IL10","3586","NC_000001.10","206940948..206945839 complement","124092","5962","193717","ENSG00000136634","PA29778","HPRD:00495","478","17306351"
"IL18","3606","NC_000011.9","112013976..112034840 complement","600953","5986","83077","ENSG00000150782","PA29802","HPRD:02976","1200","16353136"
"IL1A","3552","NC_000002.11","113531492..113542971 complement","147760","5991","1722","ENSG00000115008","PA29807","HPRD:00988","480","15771902"
"IL1RN","3557","NC_000002.11","113875470..113891593","147679","6000","81134","ENSG00000136689","-","HPRD:00978","11163","16353136"
"IL32","9235","NC_000016.9","3115313..3119668","606001","16830","943","ENSG00000008517","-","HPRD:09346","0","15047212"
"IL6","3569","NC_000007.13","22766818..22771620","147620","6018","654458","ENSG00000136244","PA198 ","HPRD:00970","502","15771902"
"IL8","3576","NC_000004.11","74606275..74609433","146930","6025","624","ENSG00000169429","PA29841","HPRD:00909","47937","18217980"
"ILF2","3608","NC_000001.10","153634514..153643479 complement","603181","6037","75117","ENSG00000143621","-","HPRD:04419","26894","16049915"
"IMP3","55272","NC_000015.9","75931436..75932595 complement","612980","14497","513043","ENSG00000177971","-","HPRD:12664","6120","17192788"
"INPP5E","56623","NC_000009.11","139323071..139334256 complement","613037","21474","120998","ENSG00000148384","-","HPRD:17151","56863","15047212"
"IPO5","3843","NC_000013.10","98605929..98676550","602008","6402","712598","ENSG00000065150","-","HPRD:03597","1710","15047212"
"IRF3","3661","NC_000019.9","50162829..50169132 complement","603734","6118","75254","ENSG00000126456","-","HPRD:04769","1208","19012493"
"ITGA1","3672","NC_000005.9","52084136..52249485","192968","6134","714114","ENSG00000213949","-","HPRD:01892","57137","15989693"
"ITGA4","3676","NC_000002.11","182321619..182402474","192975","6140","440955","ENSG00000115232","PA29940","HPRD:01894","37364","15989693"
"ITGA6","3655","NC_000002.11","173292314..173371181","147556","6142","133397","ENSG00000091409"," PA29942","HPRD:00945","20091","17306351"
"ITGAV ","3685","NC_000002.11","187454790..187545628","193210","6150","436873","ENSG00000138448","-","HPRD:01903","20510","18618715"
"ITGB1","3688","NC_000010.10","33189246..33247293 complement","135630","6153","643813","ENSG00000150093","-","HPRD:00628","22999","17306351"
"ITGB2","3689","NC_000021.8","46305868..46348753 complement","600065","6155","375957","ENSG00000160255","PA29955","HPRD:02506","20092","16049915"
"ITGB8","3696","NC_000007.13","20370725..20455382","604160","6163","592171","ENSG00000105855","-","HPRD:05001","18567","15989693"
"ITM2C","81618","NC_000002.11","231729621..231743963","609554","6175","111577","ENSG00000135916","-","HPRD:17167","11186","16450401"
"IVL","3713","NC_000001.10","152881039..152884362","147360","6187","516439","ENSG00000163207","-","HPRD:00931","86915","10389939"
"JAK1","3716","NC_000001.10","65298906..65432187 complement","147795","6190","207538","ENSG00000162434","PA29988","HPRD:00992","1678","17306351"
"JUNB","3726","NC_000019.9","12902310..12904125","165161","6205","25292","ENSG00000171223","-","HPRD:01303","7390","17306351"
"KCNC4","3749","NC_000001.10","110754065..110776666","176265","6236","153521","ENSG00000116396","-","HPRD:08887","68427","16450401"
"KCNJ4","3761","NC_000022.10","38822332..38851203 complement","600504","6265","32505","ENSG00000168135"," PA30048","HPRD:02738","3653","16353136"
"KIAA1324","57535","NC_000001.10","109656533..109745854","611298","29618","708190","ENSG00000116299","-","HPRD:13850","23249","16450401"
"KIT","3815","NC_000004.11","55524095..55606881","164920","6342","479754","ENSG00000157404","-","HPRD:01287","187","17306351"
"KITLG","4254","NC_000012.11","88886566..88974238 complement","184745","6343","1048","ENSG00000049130","PA30129 ","HPRD:01698","692","15771902"
"KLF3","51274","NC_000004.11","38665790..38703129","609392","16516","298658","ENSG00000109787","-","HPRD:13920","7396","17054779"
"KLK10","5655","NC_000019.9","51516000..51523431 complement","602673","6358","275464","ENSG00000129451","-","HPRD:04054","26428","16353136"
"KLK11","11012","NC_000019.9","51525487..51531290 complement","604434","6359","57771","ENSG00000167757","-","HPRD:05114","27048","16353136"
"KLK12","43849","NC_000019.9","51532348..51538148 complement","605539","6360","411572","ENSG00000186474","-","HPRD:05705","44690","16353136"
"KLK13","26085","NC_000019.9","51559463..51568367 complement","605505","6361","165296","ENSG00000167759","-","HPRD:05693","56714","16353136"
"KLK2","3817","NC_000019.9","51376689..51383823","147960","6363","515560","ENSG00000167751","-","HPRD:01006","68141","16450401"
"KLK7","5650","NC_000019.9","51479729..51487150 complement","604438","6368","151254","ENSG00000169035","-","HPRD:05115","37998","16353136"
"KLK8","11202","NC_000019.9","51499264..51504958 complement","605644","6369","104570","ENSG00000129455","-","HPRD:05733","21410","16353136"
"KRAS","3845","NC_000012.11","25358180..25403854 complement","190070","6407","505033","ENSG00000133703","-","HPRD:01817","37990","17306351"
"KRT1","3848","NC_000012.11","53068520..53074191 complement","139350","6412","80828","ENSG00000167768","-","HPRD:00763","38146","16353136"
"KRT10","3858","NC_000017.10","38974369..38978863 complement","148080","6413","99936","ENSG00000186395","-","HPRD:01021","20125","15138927"
"KRT13","3860","NC_000017.10","39657233..39661865 complement","148065","6415","654550","ENSG00000171401","-","HPRD:01016","40740","15138927"
"KRT15","3866","NC_000017.10","39669997..39675270 complement","148030","6421","654570","ENSG00000171346","-","HPRD:01009","1712","16450401"
"KRT17","3872","NC_000017.10","39775692..39780882 complement","148069","6427","2785","ENSG00000128422","-","HPRD:01019","363","15138927"
"KRT18","3875","NC_000012.11","53342655..53346685","148070","6430","406013","ENSG00000111057","-","HPRD:01020","55448","15771902"
"KRT19","3880","NC_000017.10","39679869..39684641 complement","148020","6436","654568","ENSG00000171345","-","HPRD:01007","105650","16353136"
"KRT3","3850","NC_000012.11","53183469..53189892 complement","148043","6440","680652","ENSG00000186442","-","HPRD:01013","62202","16353136"
"KRT4","3851","NC_000012.11","53200333..53208335 complement","123940","6441","654610","ENSG00000170477","-","HPRD:00478","20523","16353136"
"KRT6B","3854","NC_000012.11","52840435..52845910 complement","148042","6444","708950","ENSG00000185479","-","HPRD:01012","108190","17306351"
"KRT7","3855","NC_000012.11","52626954..52642709","148059","6445","411501","ENSG00000135480","-","HPRD:01014","4058","16353136"
"KRT8","3856","NC_000012.11","53290971..53298868 complement","148060","6446","533782","ENSG00000170421","-","HPRD:01015","55643","17306351"
"KRTHA3B","3884","NC_000017.10","39519746..39526047complement","602762","6451","32950","ENSG00000131738","-","HPRD:04136","117698","16450401"
"LAMA5","3911","NC_000020.10","60884121..60942368 complement","601033","6485","473256","ENSG00000130702","-","HPRD:03020","4060","18506748"
"LARP7","51574","NC_000004.11","113558120..113578742","612026","24912","713663","ENSG00000174720","-","HPRD:17095","88843","18191186"
"LDHA","3939","NC_000011.9","18415936..18429765","150000","6535","2795","ENSG00000134333","-","HPRD:01025","56495","15047212"
"LGALS7","3963","NC_000019.9","39261608..39264157 complement","600615","6568","707031","ENSG00000205076","-","HPRD:09002","100509","17543121"
"LGR5","8549","NC_000012.11","71833813..71978622","606667","4504","658889","ENSG00000139292","PA28894","HPRD:05979","20807","16353136"
"LHFPL4","375323","NC_000003.11","9540045..9595486 complement","610240","29568","56782","ENSG00000156959","-","HPRD:17361","14943","18381458"
"LMX1A","4009","NC_000001.10","165171105..165325017 complement","600298","6653","667312","ENSG00000162761","-","HPRD:02623","24921","18398837"
"LSM3","27258","NC_000003.11","14220329..14239838","607283","17874","111632","ENSG00000170860","-","HPRD:06283","6548","17054779"
"LSMD1","84316","NC_000017.10","7760003..7761172 complement","0","28212","565094","ENSG00000183011","-","HPRD:17491","23766","17054779"
"LY6D","8581","NC_000008.10","143866298..143868008  complement","606204","13348","415762","ENSG00000167656","-","HPRD:09370","2742","16450401"
"LYPLA1","10434","NC_000008.10","54958938..55014577 complement","605599","6737","724496","ENSG00000120992","-","HPRD:07063","100781","15047212"
"MAL","4118","NC_000002.11","95691479..95719735","188860","6817","80395","ENSG00000172005","PA30565 ","HPRD:01789","7827","14718022"
"MAP3K11","4296","NC_000011.9","65365226..65381720 complement","600050","6850","502872","ENSG00000173327","-","HPRD:02502","37618","15047212"
"MBNL2","10150","NC_000013.10","97874574..98046374","607327","16746","657347","ENSG00000139793","-","HPRD:09543","76766","17054780"
"MCM2","4171","NC_000003.11","127317253..127341279","116945","6944","477481","ENSG00000073111","-","HPRD:00303","3325","16353136"
"MCM3","4172","NC_000006.11","52128812..52149582 complement","602693","6945","179565","ENSG00000112118","-","HPRD:04072","1791","16353136"
"MCM4","4173","NC_000008.10","48873494..48890068","602638","6947","460184","ENSG00000104738","-","HPRD:09094","40496","16353136"
"MCM5","4174","NC_000022.10","35796116..35820495","602696","6948","517582","ENSG00000100297","-","HPRD:04075","4904","16353136"
"MDM2","4193","NC_000012.11","69201971..69239212","164785","6973","484551","ENSG00000135679","-","HPRD:01272","1793","17306351"
"ME1","4199","NC_000006.11","83920108..84140779 complement","154250","6983","21160","ENSG00000065833","-","HPRD:01102","20540","16353136"
"MEF2A","4205","NC_000015.9","100106133..100256630","600660","6993","268675","ENSG00000068305","A30731","HPRD:02807","4080","17054779"
"MET","4233","NC_000007.13","116312459..116438440","164860","7029","132966","ENSG00000105976","-","HPRD:01280","206","15771902"
"MGMT","4255","NC_000010.10","131265454..131565783","156569","7059","501522","ENSG00000170430","PA239 ","HPRD:01135","31089","11297252"
"MLH1","4292","NC_000003.11","37034979..37092337","120436","7127","195364","ENSG00000076242"," PA240","HPRD:00390","208","11297252"
"MLLT4","4301","NC_000006.11","168227671..168372703","159559","7137","614974","ENSG00000130396","-","HPRD:01164","21202","16353136"
"MMP1","4312","NC_000011.9","102660651..102668894 complement","120353","7155","83169","ENSG00000196611","PA30867","HPRD:00384","20544","11812078"
"MMP10","4319","NC_000011.9","102641234..102651344 complement","185260","7156","2258","ENSG00000166670","-","HPRD:01704","20546","15989693"
"MMP11","4320","NC_000022.10","24115036..24126503","185261","7157","143751","ENSG00000099953","-","HPRD:01705","38116","15989693"
"MMP12","4321","NC_000011.9","102733464..102745712 complement","601046","7158","1695","ENSG00000110347","-","HPRD:03027","20547","15989693"
"MMP13","4322","NC_000011.9","102813724..102826462 complement","600108","7159","2936","ENSG00000137745","-","HPRD:02522","20548","15989693"
"MMP14","4323","NC_000014.8","23305793..23316803","600754","7160","2399","ENSG00000157227","-","HPRD:02856","21040","16061633"
"MMP2","4313","NC_000016.9","55513081..55540586","120360","7166","513617","ENSG00000087245","-","HPRD:00386","3329","16061633"
"MMP3","4314","NC_000011.9","102706528..102714342 complement","185250","7173","375129","ENSG00000149968","PA30886","HPRD:01703","20545","17242701"
"MMP9","4318","NC_0000020.10","44637547..44645200","120361","7176","297413","ENSG00000100985","-","HPRD:00387","3659","17242701"
"MRPL11","65003","NC_000011.9","66202550..66206310 complement","611826","14042","418450","ENSG00000174547","-","HPRD:14739","6768","17054780"
"MRPS2","51116","NC_000009.11","138392483..138396519","611971","14495","382044","ENSG00000122140","-","HPRD:14783","99837","15047212"
"MRPS23","51649","NC_000017.10","55916842..55927399 complement","611985","14509","5836","ENSG00000181610","-","HPRD:17592","41101","17054779"
"MSH2","4436","NC_000002.11","47630263..47710360","609309","7325","597656","ENSG00000095002","-","HPRD:00389","210","10999751"
"MSLN","10232","NC_000016.9","811133..818865","601051","7371","408488","ENSG00000102854","-","HPRD:03030","4249","16450401"
"MSN","4478","NC_000023.10","64887511..64961793","309845","7373","87752","ENSG00000147065","PA31178","HPRD:02399","1833","17054780"
"MSX1","4487","NC_000004.11","4861392..4865663","142983","7391","424414","ENSG00000163132","-","HPRD:00866","1836","16049915"
"MT1G","4495","NC_000016.9","56700653..56701977 complement","156353","7399","433391","ENSG00000125144","-","HPRD:11827","87857","16434596"
"MUL1","79594","NC_000001.10","20825941..20834674 complement","612037","25762","10101","ENSG00000090432","-","HPRD:07799","11576","19843677"
"MYC","4609","NC_00008.10","128748316..128753674","190080","7553","202453","ENSG00000136997","PA31353","HPRD:01818","31092","15771902"
"MYCL1","4610","NC_000001.10","40361098..40367687complement","164850","7555","437922","ENSG00000116990","-","HPRD:01279","3921","7905784"
"MYCN","4613","NC_000002.11","16080683..16087129","164840","7559","25960","ENSG00000134323","-","HPRD:01278","3922","17306351"
"MYH9","4627","NC_000022.10","36677326..36783981 complement","160775","7579","474751","ENSG00000100345","-","HPRD:01177","68257","16450401"
"MYOD1","4654","NC_000011.9","17741110..17743678","159970","7611","181768","ENSG00000129152","-","HPRD:01166","7857","14760078"
"NAE1","8883","NC_000016.9","66836781..66864879 complement","603385","621","460978","ENSG00000159593","-","HPRD:04545","68370","15047212"
"NCL","4691","NC_000002.11","232319459..232329205 complement","164035","7667","79110","ENSG00000115053","-","HPRD:01245","21821","15047212"
"NDRG1","10397","NC_000008.10","134249414..134309547 complement","605262","7679","372914","ENSG00000104419","PA31482","HPRD:05586","55953","16450401"
"NDRG4","65009","NC_000016.9","58497549..58547523","0","14466","322430","ENSG00000103034","-","HPRD:14817","23228","16353136"
"NDUFS6","4726","NC_000005.9","1801509..1816165","603848","7713","408257","ENSG00000145494","-","HPRD:10356","37935","18559093"
"NEBL","10529","NC_000010.10","21068902..21463116 complement","605491","16932","5025","ENSG00000078114","-","HPRD:10403","31379","16353136"
"NEK1","4750","NC_000004.11","170314429..170533614 complement","604588","7744","481181","ENSG00000137601","-","HPRD:06847","14376","17054780"
"NKX6-1","4825","NC_000004.11","85414436..85419387 complement","602563","7839","546270","ENSG00000163623","-","HPRD:09092","4495","18398837"
"NME1","4830","NC_000017.10","49230920..49239450","156490","7849","463456","ENSG00000011052; ENSG00000239672","PA249 ","HPRD:01131","56418","17306351"
"NME2","4831","NC_000017.10","49242891..49249105","156491","7850","463456","ENSG0000011052; ENSG00000243678","PA250 ","HPRD:01132","39553","17306351"
"NNT","23530","NC_000005.9","43602791..43705668","607878","7863","482043","ENSG00000112992","-","HPRD:09715","7445","18559093"
"NOL4","8715","NC_000018.9","31431064..31803446 complement","603577","7870","514795","ENSG00000101746","-","HPRD:04657","36142","18381458"
"NOL7","51406","NC_000006.11","13615559..13621127","611533","21040","306242","ENSG00000225921","-","HPRD:17641","49451","20206243"
"NPTX1","4884","NC_000017.10","78440633..78450404 complement","602367","7952","514","ENSG00000171246","-","HPRD:03843","1891","19843677"
"NQO1","1728","NC_000016.9","69743304..69760533 complement","125860","2874","406515","ENSG00000181019"," PA31744","HPRD:00518","695","20200430"
"NRAS","4893","NC_000001.10","115247078..115259515 complement","164790","7989","486502","ENSG00000213281","-","HPRD:01273","55661","15047212"
"NRM","11270","NC_000006.11","30655826..30658769 complement","0","8003","519993","ENSG00000137404","-","HPRD:10120","38294","15047212"
"NTF3","4908","NC_000012.11","5541280..5604465","162660","8023","99171","ENSG00000185652","-","HPRD:01219","1896","15771902"
"NTN4","59277","NC_000012.11","96051583..96184536 complement","610401","13658","201034","ENSG00000074527","-","HPRD:10121","10934","17054780"
"OAS3","4940","NC_000012.11","113376249..113411054","603351","8088","528634","ENSG00000111331","-","HPRD:04519","4510","20084279"
"OAT","4942","NC_000010.10","126085872..126107519 complement","613349","8091","523332","ENSG00000065154","-","HPRD:02021","231","15047212"
"ONECUT1","3175","NC_000015.9","53049353..53082209 complement","604164","8138","658573","ENSG00000169856","-","HPRD:05002","3309","18398837"
"ORAOV1","220064","NC_000011.9","69480331..69490165 complement","607224","17589","667996","ENSG00000149716","-","HPRD:06245","12457","20105337"
"OSMR","9180","NC_000005.9","38846136..38934402","601743","8507","120658","ENSG00000145623","-","HPRD:03446","2972","18559093"
"OSR1","130497","NC_000002.11","19551246..19558372 complement","608891","8111","123933","ENSG00000143867","-","HPRD:16401","8035","15047212"
"P2RX4","5025","NC_000012.11","121647664..121671909","600846","8535","321709","ENSG00000135124","-","HPRD:09017","1923","16450401"
"PA2G4","5036","NC_000012.11","56498103..56507694","602145","8550","573018","ENSG00000170515","-","HPRD:03685","4513","15047212"
"PAIP1","10605","NC_000005.9","43526369..43557521 complement","605184","16945","482038","ENSG00000172239","-","HPRD:05539","4709","18559093"
"PAPD7","11044","NC_000005.9","6714718..6757161","605198","16705","481542","ENSG00000112941","-","HPRD:09239","5089","18559093"
"PAX1","5075","NC_000020.10","21686297..21696620","167411","8615","349082","ENSG00000125813","-","HPRD:01332","4514","18398837"
"PCDH10","57575","NC_000004.11","134070470..134112732","608286","13404","192859","ENSG00000138650","-","HPRD:12204","74967","16247458"
"PCNA","5111","NC_000020.10","5095599..5107268 complement","176740","8729","147433","ENSG00000132646","-","HPRD:01456","1945","18813814"
"PCNP","57092","NC_000003.11","101293042..101313281","0","30023","275865","ENSG00000081154","-","HPRD:17826","10676","15047212"
"PDCD1","5133","NC_000002.11","242792033..242801058 complement","600244","8760","158297","ENSG00000188389","-","HPRD:02590","3681","18337305"
"PDCD4","27250","NC_000010.10","112631596..112659764","608610","8763","711490","ENSG00000150593","-","HPRD:10549","7879","16353136"
"PDGFRA","5156","NC_000004.11","55095264..55164412","173490","8803","74615","ENSG00000134853"," PA33147","HPRD:01429","31361","15771902"
"PDIA3","2923","NC_000015.9","44038590..44064804","602046","4606","712781","ENSG00000167004","-","HPRD:03625","68454","15047212"
"PDK2","5164","NC_000017.10","48172696..48188423","602525","8810","256667","ENSG00000005882","-","HPRD:03955","68265","17054780"
"PEBP1","5037","NC_000012.11","118573870..118583390","604591","8630","433863","ENSG00000089220","-","HPRD:06850","37637","18191186"
"PECAM1","5175","NC_000017.10","62399863..62401205 complement","173445","8823","514412","-"," PA33167","HPRD:01425","47925","19352388"
"PGR","5241","NC_000011.9","100900355..101000544 complement","607311","8910","32405","ENSG00000082175","-","HPRD:07077","713","14760078"
"PHB","5245","NC_000017.10","47481420..47492242 complement","176705","8912","514303","ENSG00000167085","PA33251","HPRD:01454","1980","16426920"
"PIGF","5281","NC_000002.11","46808413..46844251 complement","600153","8962","468415","ENSG00000151665"," PA33293 ","HPRD:02539","31103","19845534"
"PIGT","51604","NC_000020.10","44044724..44054884","610272","14938","437388","ENSG00000124155","-","HPRD:15136","6134","18506748"
"PLAGL1","5325","NC_000006.11","144261437..144385735 complement","603044","9046","444975","ENSG00000118495","-","HPRD:16010","31401","18217980"
"PLAT","5327","NC_000008.10","42032236..42065194 complement","173370","9051","491582","ENSG00000104368","-","HPRD:01419","717","16353136"
"PLOD2","5352","NC_000003.11","145787227..145879282 complement","601865","9082","477866","ENSG00000152952","-","HPRD:03519","22681","16353136"
"PLP2","5355","NC_000023.10","49028273..49031438","300112","9087","77422","ENSG00000102007","PA33415","HPRD:02121","2003","16450401"
"PLSCR1","5359","NC_000003.11","146232967..146262628 complement","604170","9092","130759","ENSG00000188313","-","HPRD:08855","41418","16353136"
"POFUT1","23509","NC_000020.10","30795696..30826467","607491","14988","472409","ENSG00000101346","-","HPRD:06319","9104","18506748"
"POP5","51367","NC_000012.11","121016848..121019201 complement","609992","17689","279913","ENSG00000167272","-","HPRD:15158","41076","15047212"
"POU2F3","25833","NC_000011.9","120110951..120190653","607394","19864","227115","ENSG00000137709","-","HPRD:09582","7898","16607278"
"PPL","5493","NC_000016.9","4932508..4987136 complement","602871","9273","192233","ENSG00000118898","-","HPRD:04187","2026","16353136"
"PPP1R3C","5507","NC_000010.10","93388199..93392858 complement","602999","9293","303090","ENSG00000119938","-","HPRD:04298","3938","16353136"
"PPP2R1B","5519","NC_000011.9","111597632..111637169 complement","603113","9303","584790","ENSG00000137713","-","HPRD:04384","70244","11118052"
"PRDM5","11107","NC_000004.11","121615929..121844013 complement","0","9349","666782","ENSG00000138738","-","HPRD:17902","10274","20213097"
"PRR11","55771","NC_000017.10","57233093..57279147","0","25619","631750","ENSG00000068489","-","HPRD:07726","10123","16353136"
"PRSS2","5645","NC_079596.2","41906076..4190661","601564","9483","449281","-","-","HPRD:03335","0","16353136"
"PRSS3","5646","NC_000009.11","33750515..33799229","0","9486","654513","ENSG0000010438","-","HPRD:06685","122141","16353136"
"PSMB9","5698","NC_000006.11","32821938..32827628","177045","9546","654585","ENSG00000204261; ENSG00000240065","-","HPRD:01514","2094","16353136"
"PTEN","5728","NC_000010.10","89623195..89728532","601728","9588","500466","ENSG00000171862","PA33942","HPRD:03431","265","15196854"
"PTGS2","5743","NC_000001.10","186640944..186649559 complement","600262","9605","196384","ENSG00000073756"," PA293 ","HPRD:02599","31000","19723044"
"PTK6","5753","NC_000020.10","62159766..62168707 complement","602004","9617","51133","ENSG00000101213","-","HPRD:03594","68494","16353136"
"PTPN6","5777","NC_000012.11","7055740..7070479","176883","9658","63489","ENSG00000111679","PA34002","HPRD:01475","56589","19836067"
"PTTG1","9232","NC_000005.9","159848865..159855746","604147","9690","350966","ENSG00000164611","-","HPRD:04998","3110","18191186"
"PWP2H","5822","NC_000021.8","45527208..45551063","601475","9711","449076","ENSG00000160221","-","HPRD:03279","3702","16450401"
"PYCARD","29108","NC_000016.9","31212807..31214251 complement","606838","16608","499094","ENSG00000103490","-","HPRD:06020","8307","15713962"
"RAF1","5894","NC_000003.11","12625100..12705700 complement","164760","9829","159130","ENSG00000132155","-","HPRD:01265","48145","17306351"
"RALY","22913","NC_000020.10","32581732..32668067","0","15921","136947","ENSG00000125970","-","HPRD:11480","7216","18506748"
"RAPGEF3","10411","NC_000012.11","48128453..48152889 complement","606057","16629","8578","ENSG0000079337","-","HPRD:06928","21231","16353136"
"RARA","5914","NC_000017.10","38465446..38513895","180240","9864","654583","ENSG00000131759","-","HPRD:06769","20262","10389939"
"RARB","5915","NC_000003.11","25469754..25639423","180220","9865","719896","ENSG0000077092","-","HPRD:07183","68100","17548682"
"RARG","5916","NC_000012.11","53604353..53626036 complement","180190","9866","1497","ENSG00000172819","-","HPRD:01573","20263","10389939"
"RARRES3","5920","NC_000011.9","63304273..63313930","605092","9869","17466","ENSG00000133321","-","HPRD:05479","48290","15047212"
"RASSF1","11186","NC_000003.11","50367217..50378367 complement","605082","9882","476270","ENSG0000068028"," PA34245","HPRD:05470","10499","17971771"
"RBL1","5933","NC_000020.10","35626178..35724410 complement","116957","9893","207745","ENSG00000080839","-","HPRD:00312","2172","18813814"
"RBL2","5934","NC_000016.9","53468351..53525560","180203","9894","513609","ENSG00000103479","-","HPRD:01576","4098","18813814"
"RBP1","5947","NC_000003.11","139236276..139258671 complement","180260","9919","529571","ENSG00000248478; ENSG00000114115","-","HPRD:07036","2175","18217980"
"RCL1","10171","NC_000009.11","4792834..4861064","611405","17687","194121","ENSG00000120158","-","HPRD:10189","4217","17054779"
"RGS1","5996","NC_000001.10","192544857..192549159","600323","9991","75256","ENSG00000090104","-","HPRD:15968","2191","16353136"
"RHCG","51458","NC_000015.9","90014638..90039799 complement","605381","18140","459284","ENSG00000140519","-","HPRD:16102","32310","16353136"
"RNASEN","29102","NC_000005.9","31400601..31532282 complement","608828","17904","97997","ENSG00000113360","-","HPRD:10196","8293","18559093"
"RNF114","55905","NC_000020.10","48552914..48570422","612451","13094","144949","ENSG00000124226","-","HPRD:10329","10265","18506748"
"RPL37","6167","NC_000005.9","40831430..40835387 complement","604181","10347","80545","ENSG00000145592","-","HPRD:16047","68110","17543121"
"RPL39L","116832","NC_000003.11","186838741..186857263 complement","607547","17094","647900","ENSG00000163923","-","HPRD:09610","122215","16353136"
"RPRM ","56475","NC_000002.11","154333852..154335322 complement","612171","24201","100890","ENSG00000177519","-","HPRD:18002","10524","15700311"
"RPS19","6223","NC_000019.9","42363988..42375484","603474","10402","438429","ENSG00000105372","-","HPRD:04591","37416","15771902"
"RPSA","3921","NC_000003.11","39448204..39454033","150370","6502","449909","ENSG00000168028","PA30287","HPRD:01038","103854","16514834"
"RRAD","6236","NC_000016.9","66955582..66959439 complement","179503","10446","1027","ENSG00000166592","-","HPRD:01536","3071","16434596"
"RRAS","6237","NC_000019.9","50138552..50143400 complement","165090","10447","515536","ENSG00000126458","-","HPRD:01299","4565","16862428"
"RRM2","6241","NC_000002.11","10262735..10271546","180390","10452","226390","ENSG00000171848","PA299","HPRD:01587","20277","16353136"
"RTN3","10313","NC_000011.9","63448922..63527363","604249","10469","473761","ENSG00000133318","-","HPRD:18516","24934","15047212"
"RUNX1","861","NC_000021.8","36160098..36421595 complement","151385","10471","149261","ENSG00000159216","PA34884","HPRD:01043","1331","16353136"
"RUNX3","864","NC_000001.10","25226002..25291501 complement","600210","10473","170019","ENSG00000020633","-","HPRD:02565","37914","14968123"
"S100A10","6281","NC_000001.10","151955386..151966714 complement","114085","10487","143873","ENSG00000197747","PA34899","HPRD:00232","2228","16353136"
"S100A7","6278","NC_000001.10","153430220..153433137 complement","600353","10497","112408","ENSG00000143556","-","HPRD:02645","48150","16353136"
"S100A8","6279","NC_000001.10","153362508..153363549 complement","123885","10498","416073","ENSG00000143546","PA34910","HPRD:00471","2225","15047212"
"S100A9","6280","NC_000001.10","153330330..153333503","123886","10499","112405","ENSG00000163220","PA34911","HPRD:00472","2227","16450401"
"S100P","6286","NC_000004.11","6695566..6698897","600614","10504","2962","ENSG00000163993","-","HPRD:02792","81743","16450401"
"SAA1","6288","NC_000011.9","18287772..18291526","104750","10513","632144","ENSG00000173432","PA34921","HPRD:00097","81819","18217980"
"SCAMP1","9522","NC_000005.9","77656339..77776562","606911","10563","482587","ENSG00000085365","-","HPRD:06072","37975","18191186"
"SCD","6319","NC_000010.10","102106772..102124588","604031","10571","558396","ENSG00000099194","-","HPRD:04941","74538","18217980"
"SCEL","8796","NC_000013.10","78109859..78218644","604112","10573","534699","ENSG00000136155","-","HPRD:09161","2850","16353136"
"SDC1 ","6382","NC_000002.11","20400558..20425194 complement","186355","10658","224607","ENSG00000115884","PA35588","HPRD:01718","2252","10600292"
