"gene_name","homologene_id","species","gene","mrna","protein"
"CDH13","20335","C.lupus","CDH13","XM_546809.2","XP_546809.2"
"CDH13","20335","B.taurus","CDH13","NM_001035277.1","NP_001030354.1"
"CDH13","20335","M.musculus","Cdh13","NM_019707.3","NP_062681.2"
"CDH13","20335","R.norvegicus","Cdh13","NM_138889.2","NP_620244.1"
"CDH13","20335","G.gallus","CDH13","NM_001001760.1","NP_001001760.1"
"CDH13","20335","D.rerio","si:ch211-1","XM_681990.3","XP_687082.3"
"CDH15","3622","H.sapiens ","CDH15 ","NM_004933.2 ","NP_004924.1"
"CDH15","3622","C.lupus ","CDH15 ","XM_536750.2 ","XP_536750.2"
"CDH15","3622","B.taurus ","CDH15 ","NM_001102066.1 ","NP_001095536.1"
"CDH15","3622","M.musculus ","Cdh15 ","NM_007662.2 ","NP_031688.2"
"CDH15","3622","R.norvegicus ","Cdh15 ","NM_207613.1 ","NP_997496.1"
"CDH15","3622","D.rerio ","cdh15 ","NM_212606.1 ","NP_997771.1"
"CDH2","20424","H.sapiens","CDH2","NM_001792.3","NP_001783.2"
"CDH2","20424","P.troglodytes","CDH2","XM_523898.2","XP_523898.2"
"CDH2","20424","C.lupus","CDH2","XM_537293.2","XP_537293.2"
"CDH2","20424","B.taurus","CDH2","XM_001250829.2","XP_001250830.2"
"CDH2","20424","M.musculus","Cdh2","NM_007664.3","NP_031690.2"
"CDH2","20424","R.norvegicus","Cdh2","NM_031333.1","NP_112623.1"
"CDH2","20424","G.gallus","CDH2","NM_001001615.1","NP_001001615.1"
"CDH2","20424","D.rerio","cdh2","NM_131081.1","NP_571156.1"
"CDH3","20425","H.sapiens","CDH3","NM_001793.4","NP_001784.2"
"CDH3","20425","P.troglodytes","CDH3","XM_001167934.1","XP_001167934.1"
"CDH3","20425","C.lupus","CDH3","XM_848616.1","XP_853709.1"
"CDH3","20425","B.taurus","CDH3","XM_614683.4","XP_614683.4"
"CDH3","20425","M.musculus","Cdh3","NM_001037809.2","NP_001032898.1"
"CDH3","20425","R.norvegicus","Cdh3","XM_226426.4","XP_226426.4"
"CDH3","20425","H.sapiens ","CDH3 ","NM_001793.4 ","NP_001784.2"
"CDH3","20425","P.troglodytes ","CDH3 ","XM_001167934.1 ","XP_001167934.1"
"CDH3","20425","C.lupus ","CDH3 ","XM_848616.1 ","XP_853709.1"
"CDH3","20425","B.taurus ","CDH3 ","XM_614683.4 ","XP_614683.4"
"CDH3","20425","M.musculus ","Cdh3 ","NM_001037809.2 ","NP_001032898.1"
"CDH3","20425","R.norvegicus ","Cdh3 ","XM_226426.4 ","XP_226426.4"
"CDK2","74409","H.sapiens ","CDK2 ","NM_001798.3 ","NP_001789.2"
"CDK2","74409","P.troglodytes ","CDK2 ","XM_522432.2 ","XP_522432.2"
"CDK2","74409","C.lupus ","CDK2 ","XM_843254.1 ","XP_848347.1"
"CDK2","74409","B.taurus ","CDK2 ","NM_001014934.1 ","NP_001014934.1"
"CDK2","74409","M.musculus ","Cdk2 ","NM_183417.2 ","NP_904326.1"
"CDK2","74409","R.norvegicus ","Cdk2 ","NM_199501.1 ","NP_955795.1"
"CDK2","74409","D.rerio ","cdk2 ","NM_213406.1 ","NP_998571.1"
"CDK2","74409","D.melanogaster ","cdc2c ","NM_079696.4 ","NP_524420.1"
"CDK2","74409","A.gambiae ","AgaP_AGAP0","XM_562342.3 ","XP_562342.3"
"CDK2","74409","S.pombe ","cdc2 ","NM_001021523.1 ","NP_595629.1"
"CDK2","74409","S.cerevisiae ","CDC28 ","CDC28_6319636 ","NP_009718.1"
"CDK2","74409","K.lactis ","KLLA0B0979","XM_451964.1 ","XP_451964.1"
"CDK2","74409","E.gossypii ","AGOS_ADR05","NM_209507.1 ","NP_984154.1"
"CDK2","74409","M.grisea ","MGG_01362 ","XM_363436.1 ","XP_363436.1"
"CDK2","74409","N.crassa ","NCU09778.1","XM_330427.1 ","XP_330428.1"
"CDK2","74409","A.thaliana ","CDC2 ","NM_114734.3 ","NP_566911.1"
"CDK2","74409","O.sativa ","Os03g01184","NM_001055307.1 ","NP_001048772.1"
"CDK2","74409","O.sativa ","Os02g01231","NM_001052266.1 ","NP_001045731.1"
"CDK2","74409","P.falciparum ","MAL13P1.27","XM_001350244.1 ","XP_001350280.1"
"CDK6","963","H.sapiens ","CDK6 ","NM_001145306.1 ","NP_001138778.1"
"CDK6","963","P.troglodytes ","CDK6 ","XM_001167181.1 ","XP_001167181.1"
"CDK6","963","C.lupus ","CDK6 ","XM_847267.1 ","XP_852360.1"
"CDK6","963","B.taurus ","CDK6 ","XM_589151.4 ","XP_589151.3"
"CDK6","963","M.musculus ","Cdk6 ","NM_009873.2 ","NP_034003.1"
"CDK6","963","R.norvegicus ","Cdk6 ","XM_342638.3 ","XP_342639.2"
"CDK6","963","G.gallus ","CDK6 ","NM_001007892.1 ","NP_001007893.1"
"CDK6","963","D.rerio ","LOC1000066","XM_001345325.2 ","XP_001345361.2"
"CDK6","963","D.melanogaster ","Cdk4 ","NM_057848.2 ","NP_477196.1"
"CDK6","963","A.gambiae ","AgaP_AGAP0","XM_315841.3 ","XP_315841.3"
"CDK6","963","C.elegans ","cdk-4 ","NM_077855.4 ","NP_510256.1"
"CDKN1A","333","H.sapiens","CDKN1A","NM_000389.3","NP_000380.1"
"CDKN1A","333","P.troglodytes","CDKN1A","XM_001157015.1","XP_001157015.1"
"CDKN1A","333","C.lupus","CDKN1A","XM_532125.2","XP_532125.2"
"CDKN1A","333","B.taurus","CDKN1A","NM_001098958.1","NP_001092428.1"
"CDKN1A","333","M.musculus","Cdkn1a","NM_007669.3","NP_031695.1"
"CDKN1A","333","R.norvegicus","Cdkn1a","NM_080782.3","NP_542960.1"
"CDKN1B","2999","H.sapiens ","CDKN1B ","NM_004064.3 ","NP_004055.1"
"CDKN1B","2999","P.troglodytes ","CDKN1B ","XM_522347.2 ","XP_522347.2"
"CDKN1B","2999","C.lupus ","CDKN1B ","NM_001002957.1 ","NP_001002957.1"
"CDKN1B","2999","B.taurus ","CDKN1B ","NM_001100346.1 ","NP_001093816.1"
"CDKN1B","2999","M.musculus ","Cdkn1b ","NM_009875.3 ","NP_034005.2"
"CDKN1B","2999","R.norvegicus ","Cdkn1b ","NM_031762.2 ","NP_113950.2"
"CDKN1B","2999","G.gallus ","CDKN1B ","NM_204256.2 ","NP_989587.1"
"CDKN1B","2999","G.gallus ","CDKN1B ","XM_001233186.1 ","XP_001233187.1"
"CDKN1B","2999","D.rerio ","cdkn1b ","NM_212792.2 ","NP_997957.1"
"CDKN2A","55430","H.sapiens","CDKN2A","NM_000077.3","NP_000068.1"
"CDKN2A","55430","P.troglodytes","CDKN2A","XM_520513.2","XP_520513.1"
"CDKN2A","55430","M.musculus","Cdkn2a","NM_001040654.1","NP_001035744.1"
"CDKN2A","55430","R.norvegicus","Cdkn2a","NM_031550.1","NP_113738.1"
"CDKN2B","55859","H.sapiens","CDKN2B","NM_004936.3","NP_004927.2"
"CDKN2B","55859","B.taurus","CDKN2B","NM_001075894.1","NP_001069362.1"
"CDKN2B","55859","M.musculus","Cdkn2b","NM_007670.3","NP_031696.1"
"CDKN2B","55859","R.norvegicus","Cdkn2b","NM_130812.1","NP_570825.1"
"CDKN2B","55859","G.gallus","CDKN2B","NM_204433.1","NP_989764.1"
"CEACAM1","113536","H.sapiens ","CEACAM5 ","NM_004363.2 ","NP_004354.2"
"CEACAM1","113536","H.sapiens ","CEACAM1 ","NM_001712.3 ","NP_001703.2"
"CEACAM1","113536","H.sapiens ","CEACAM6 ","NM_002483.4 ","NP_002474.3"
"CEACAM1","113536","D.rerio ","ceacam1 ","NM_001113794.1 ","NP_001107266.1"
"CEACAM5","113536","H.sapiens","CEACAM5","NM_004363.2","NP_004354.2"
"CEACAM5","113536","H.sapiens","CEACAM1","NM_001712.3","NP_001703.2"
"CEACAM5","113536","H.sapiens","CEACAM6","NM_002483.4","NP_002474.3"
"CEACAM5","113536","D.rerio","ceacam1","NM_001113794.1","NP_001107266.1"
"CEACAM6","113536","H.sapiens","CEACAM5","NM_004363.2","NP_004354.2"
"CEACAM6","113536","H.sapiens","CEACAM1","NM_001712.3","NP_001703.2"
"CEACAM6","113536","H.sapiens","CEACAM6","NM_002483.4","NP_002474.3"
"CEACAM6","113536","D.rerio","ceacam1","NM_001113794.1","NP_001107266.1"
"CEACAM7","48476","H.sapiens","CEACAM7","NM_006890.2","NP_008821.1"
"CEACAM7","48476","P.troglodytes","CEACAM7","XM_524278.2","XP_524278.1"
"CEBPB","3807","H.sapiens","CEBPB","NM_005194.2","NP_005185.2"
"CEBPB","3807","P.troglodytes","CEBPB","XM_525353.2","XP_525353.2"
"CEBPB","3807","M.musculus","Cebpb","NM_009883.2","NP_034013.1"
"CEBPB","3807","R.norvegicus","Cebpb","NM_024125.4","NP_077039.3"
"CEBPB","3807","G.gallus","CEBPB","NM_205253.1","NP_990584.1"
"CEBPB","3807","D.rerio","cebpb","NM_131884.2","NP_571959.2"
"CELA2A","40598","H.sapiens","CELA2A","NM_033440.1","NP_254275.1"
"CELA2A","40598","P.troglodytes","CELA2A","XM_001156270.1","XP_001156270.1"
"CELA2A","40598","B.taurus","CELA2A","NM_174714.2","NP_777139.1"
"CELA2A","40598","M.musculus","RP23-395H4","NM_007919.2","NP_031945.1"
"CELA2A","40598","R.norvegicus","Cela2a","NM_012553.1","NP_036685.1"
"CELA2A","40598","G.gallus","CELA2A","XM_001231961.1","XP_001231962.1"
"CELA2A","40598","D.rerio","ela2","XM_001923683.1","XP_001923718.1"
"CELA2A","40598","D.rerio","ela2l","NM_199886.1","NP_956180.1"
"CELSR1","7665","H.sapiens","CELSR1","NM_014246.1","NP_055061.1"
"CELSR1","7665","C.lupus","CELSR1","XM_538324.2","XP_538324.2"
"CELSR1","7665","B.taurus","CELSR1","XM_600703.4","XP_600703.4"
"CELSR1","7665","M.musculus","Celsr1","NM_009886.2","NP_034016.2"
"CELSR1","7665","R.norvegicus","Celsr1","XM_001070474.1","XP_001070474.1"
"CELSR1","7665","D.rerio","celsr1a","XM_682172.3","XP_687264.3"
"CELSR1","7665","D.rerio","celsr1b","XM_001920737.1","XP_001920772.1"
"CELSR1","7665","D.melanogaster","stan","NM_165794.2","NP_724962.2"
"CELSR1","7665","A.gambiae","GPRSTN","XM_314341.1","XP_314341.1"
"CELSR1","7665","C.elegans","cdh-6","NM_073855.3","NP_506256.3"
"CES1","35606","H.sapiens","CES1","NM_001266.4","NP_001257.4"
"CES1","35606","P.troglodytes","CES1","XM_001167988.1","XP_001167988.1"
"CES1","35606","C.lupus","CES1","NM_001003085.1","NP_001003085.1"
"CES1","35606","B.taurus","CES1","NM_001046018.1","NP_001039483.1"
"CES1","35606","B.taurus","CES1","NM_001075554.1","NP_001069022.1"
"CES1","35606","M.musculus","Ces3","NM_053200.2","NP_444430.2"
"CES1","35606","R.norvegicus","LOC291863","NM_001013889.1","NP_001013911.1"
"CES1","35606","R.norvegicus","Ces3","NM_133295.2","NP_579829.2"
"CES1","35606","G.gallus","CES1","XM_414147.2","XP_414147.2"
"CES1","35606","G.gallus","LOC769339","XM_001232057.1","XP_001232058.1"
"CES1","35606","G.gallus","LOC769704","XM_001232992.1","XP_001232993.1"
"CHFR","10078","H.sapiens","CHFR","NM_018223.1","NP_060693.1"
"CHFR","10078","C.lupus","CHFR","XM_843543.1","XP_848636.1"
"CHFR","10078","B.taurus","CHFR","XM_001788064.1","XP_001788116.1"
"CHFR","10078","M.musculus","Chfr","NM_172717.2","NP_766305.1"
"CHFR","10078","R.norvegicus","Chfr","NM_001009258.1","NP_001009258.1"
"CHFR","10078","G.gallus","CHFR","XM_415086.2","XP_415086.2"
"CHFR","10078","D.rerio","si:dkey-69","NM_001100015.1","NP_001093485.1"
"CITED2","4433","H.sapiens","CITED2","NM_006079.3","NP_006070.2"
"CITED2","4433","P.troglodytes","CITED2","XM_518770.2","XP_518770.2"
"CITED2","4433","C.lupus","CITED2","XM_541127.2","XP_541127.2"
"CITED2","4433","B.taurus","CITED2","NM_001075819.1","NP_001069287.1"
"CITED2","4433","M.musculus","Cited2","NM_010828.2","NP_034958.2"
"CITED2","4433","R.norvegicus","Cited2","NM_053698.2","NP_446150.1"
"CITED2","4433","G.gallus","CITED2","NM_206844.1","NP_996726.1"
"CITED2","4433","D.rerio","zgc:103418","NM_001006045.1","NP_001006045.1"
"CKS2","86883","H.sapiens","CKS2","NM_001827.1","NP_001818.1"
"CKS2","86883","P.troglodytes","CKS2","XM_520119.2","XP_520119.2"
"CKS2","86883","M.musculus","Cks2","NM_025415.2","NP_079691.1"
"CKS2","86883","M.musculus","Gm15452","XM_001472887.1","XP_001472937.1"
"CKS2","86883","R.norvegicus","Cks2","XM_573992.2","XP_573992.2"
"CKS2","86883","G.gallus","CKS2","XM_001231966.1","XP_001231967.1"
"CKS2","86883","D.rerio","zgc:86839","NM_001002110.1","NP_001002110.1"
"CKS2","86883","C.elegans","Y71G12B.27","NM_058495.2","NP_490896.1"
"CLDN1","9620","H.sapiens ","CLDN1 ","NM_021101.3 ","NP_066924.1"
"CLDN1","9620","P.troglodytes ","CLDN1 ","XM_516949.2 ","XP_516949.2"
"CLDN1","9620","C.lupus ","CLDN1 ","XM_845155.1 ","XP_850248.1"
"CLDN1","9620","B.taurus ","CLDN1 ","NM_001001854.2 ","NP_001001854.1"
"CLDN1","9620","M.musculus ","Cldn1 ","NM_016674.3 ","NP_057883.1"
"CLDN1","9620","R.norvegicus ","Cldn1 ","NM_031699.2 ","NP_113887.2"
"CLDN1","9620","G.gallus ","RCJMB04_2c","NM_001013611.2 ","NP_001013629.1"
"CLDN1","9620","D.rerio ","cldn1 ","NM_131770.1 ","NP_571845.1"
"CLEC2B","68443","H.sapiens","CLEC2B","NM_005127.2","NP_005118.2"
"CLEC2B","68443","P.troglodytes","CLEC2B","XM_528730.2","XP_528730.2"
"CLEC2B","68443","C.lupus","CLEC2B","XM_849093.1","XP_854186.1"
"CLIC3","3432","H.sapiens","CLIC3","NM_004669.2","NP_004660.2"
"CLIC3","3432","P.troglodytes","CLIC3","XM_520422.2","XP_520422.2"
"CLIC3","3432","C.lupus","CLIC3","XM_843599.1","XP_848692.1"
"CLIC3","3432","B.taurus","CLIC3","NM_001100301.1","NP_001093771.1"
"CLIC3","3432","M.musculus","Clic3","NM_027085.2","NP_081361.1"
"CLIC3","3432","D.rerio","clica","NM_199524.1","NP_955818.1"
"CNOT1","9453","H.sapiens","CNOT1","NM_016284.3","NP_057368.3"
"CNOT1","9453","P.troglodytes","CNOT1","XM_511007.2","XP_511007.2"
"CNOT1","9453","B.taurus","CNOT1","XM_613555.4","XP_613555.3"
"CNOT1","9453","M.musculus","Cnot1","XM_894673.2","XP_899766.2"
"CNOT1","9453","R.norvegicus","RGD1308009","XM_001060702.1","XP_001060702.1"
"CNOT1","9453","G.gallus","CNOT1","XM_414043.2","XP_414043.2"
"CNOT1","9453","D.rerio","cnot1","NM_001079951.1","NP_001073420.1"
"CNOT1","9453","D.melanogaster","Not1","NM_001103772.1","NP_001097242.1"
"CNOT1","9453","A.gambiae","AgaP_AGAP0","XM_319808.4","XP_319808.4"
"CNOT1","9453","C.elegans","let-711","NM_066115.3","NP_498516.2"
"CNOT1","9453","A.thaliana","AT1G02080","NM_100088.4","NP_171710.3"
"CNOT1","9453","O.sativa","Os10g05566","NM_001071886.1","NP_001065354.1"
"COL1A1","73874","H.sapiens","COL1A1","NM_000088.3","NP_000079.2"
"COL1A1","73874","P.troglodytes","COL1A1","XM_001169386.1","XP_001169386.1"
"COL1A1","73874","C.lupus","COL1A1","NM_001003090.1","NP_001003090.1"
"COL1A1","73874","B.taurus","COL1A1","NM_001034039.1","NP_001029211.1"
"COL1A1","73874","M.musculus","Col1a1","NM_007742.3","NP_031768.2"
"COL1A1","73874","R.norvegicus","Col1a1","XM_213440.4","XP_213440.1"
"COL1A1","73874","D.rerio","col1a1","NM_199214.1","NP_954684.1"
"CPE","48052","H.sapiens","CPE","NM_001873.2","NP_001864.1"
"CPE","48052","P.troglodytes","CPE","XM_517525.2","XP_517525.2"
"CPE","48052","C.lupus","CPE","XM_532715.2","XP_532715.2"
"CPE","48052","M.musculus","Cpe","NM_013494.3","NP_038522.2"
"CPE","48052","G.gallus","CPE","XM_420392.2","XP_420392.2"
"CPE","48052","D.rerio","zgc:85981","NM_214810.1","NP_999975.1"
"CPE","48052","C.elegans","egl-21","NM_069534.5","NP_501935.1"
"CPEB3","40992","H.sapiens ","CPEB3 ","NM_014912.3 ","NP_055727.3"
"CPEB3","40992","P.troglodytes ","CPEB3 ","XM_001145135.1 ","XP_001145135.1"
"CPEB3","40992","C.lupus ","CPEB3 ","XM_844121.1 ","XP_849214.1"
"CPEB3","40992","B.taurus ","CPEB3 ","XM_875092.3 ","XP_880185.2"
"CPEB3","40992","M.musculus ","Cpeb3 ","NM_198300.2 ","NP_938042.2"
"CPEB3","40992","R.norvegicus ","Cpeb3 ","XM_220043.4 ","XP_220043.4"
"CPEB3","40992","G.gallus ","CPEB3 ","XM_421688.2 ","XP_421688.2"
"CPEB3","40992","D.rerio ","LOC1000052","XM_001344335.1 ","XP_001344371.1"
"CPEB3","40992","H.sapiens ","CPEB3 ","NM_014912.3 ","NP_055727.3"
"CPEB3","40992","P.troglodytes ","CPEB3 ","XM_001145135.1 ","XP_001145135.1"
"CPEB3","40992","C.lupus ","CPEB3 ","XM_844121.1 ","XP_849214.1"
"CPEB3","40992","B.taurus ","CPEB3 ","XM_875092.3 ","XP_880185.2"
"CPEB3","40992","M.musculus ","Cpeb3 ","NM_198300.2 ","NP_938042.2"
"CPEB3","40992","R.norvegicus ","Cpeb3 ","XM_220043.4 ","XP_220043.4"
"CPEB3","40992","G.gallus ","CPEB3 ","XM_421688.2 ","XP_421688.2"
"CPEB3","40992","D.rerio ","LOC1000052","XM_001344335.1 ","XP_001344371.1"
"CR1","55474","H.sapiens","CR1","NM_000651.4","NP_000642.3"
"CR1","55474","P.troglodytes","CR1","XM_514159.2","XP_514159.2"
"CR1","55474","C.lupus","CR1","XM_846574.1","XP_851667.1"
"CRABP2","1415","H.sapiens","CRABP2","NM_001878.2","NP_001869.1"
"CRABP2","1415","P.troglodytes","CRABP2","XM_001166367.1","XP_001166367.1"
"CRABP2","1415","C.lupus","CRABP2","XM_849822.1","XP_854915.1"
"CRABP2","1415","B.taurus","CRABP2","NM_001008670.1","NP_001008670.1"
"CRABP2","1415","M.musculus","Crabp2","NM_007759.2","NP_031785.1"
"CRABP2","1415","R.norvegicus","Crabp2","NM_017244.1","NP_058940.1"
"CRABP2","1415","D.rerio","LOC792071","XM_001331013.2","XP_001331049.1"
"CRABP2","1415","D.rerio","crabp2a","NM_182859.1","NP_878279.1"
"CRISP3","50654","H.sapiens","CRISP3","NM_006061.1","NP_006052.1"
"CRISP3","50654","P.troglodytes","CRISP3","XM_001148602.1","XP_001148602.1"
"CRISP3","50654","C.lupus","CRISP3","XM_538955.2","XP_538955.2"
"CRISP3","50654","B.taurus","CRISP3","NM_001079635.1","NP_001073103.1"
"CRISP3","50654","M.musculus","Crisp1","NM_009638.2","NP_033768.2"
"CRISP3","50654","R.norvegicus","Crisp1","NM_022859.1","NP_074050.1"
"CRISP3","50654","G.gallus","CRISP3","XM_420051.2","XP_420051.2"
"CRISP3","50654","D.rerio","LOC1001480","XM_001922174.1","XP_001922209.1"
"CRNN","9416","H.sapiens ","CRNN ","NM_016190.2 ","NP_057274.1"
"CRNN","9416","B.taurus ","LOC1001412","XM_001788416.1 ","XP_001788468.1"
"CRNN","9416","M.musculus ","Crnn ","NM_001081200.1 ","NP_001074669.1"
"CRNN","9416","R.norvegicus ","Crnn ","XM_227367.4 ","XP_227367.4"
"CRNN","9416","G.gallus ","CRNN ","XM_428858.2 ","XP_428858.2"
"CRYAB","68209","H.sapiens","CRYAB","NM_001885.1","NP_001876.1"
"CRYAB","68209","P.troglodytes","CRYAB","XM_508752.2","XP_508752.2"
"CRYAB","68209","C.lupus","CRYAB","XM_536576.2","XP_536576.1"
"CRYAB","68209","B.taurus","CRYAB","NM_174290.2","NP_776715.1"
"CRYAB","68209","M.musculus","Cryab","NM_009964.2","NP_034094.1"
"CRYAB","68209","R.norvegicus","Cryab","NM_012935.2","NP_037067.1"
"CRYAB","68209","G.gallus","CRYAB","NM_205176.1","NP_990507.1"
"CRYAB","68209","D.rerio","cryaba","NM_131157.1","NP_571232.1"
"CRYAB","68209","D.melanogaster","l(2)efl","NM_079103.2","NP_523827.1"
"CRYAB","68209","A.gambiae","AgaP_AGAP0","XM_001687979.1","XP_001688031.1"
"CSE1L","1006","H.sapiens","CSE1L","NM_001316.2","NP_001307.2"
"CSE1L","1006","P.troglodytes","CSE1L","XM_001166085.1","XP_001166085.1"
"CSE1L","1006","C.lupus","CSE1L","XM_848113.1","XP_853206.1"
"CSE1L","1006","B.taurus","CSE1L","NM_001014933.1","NP_001014933.1"
"CSE1L","1006","M.musculus","Cse1l","NM_023565.2","NP_076054.1"
"CSE1L","1006","R.norvegicus","Cse1l","XM_342581.3","XP_342582.1"
"CSE1L","1006","G.gallus","CSE1L","XM_417389.2","XP_417389.2"
"CSE1L","1006","D.rerio","cse1l","NM_201450.1","NP_958858.1"
"CSE1L","1006","D.melanogaster","Cas","NM_078864.2","NP_523588.2"
"CSE1L","1006","A.gambiae","AgaP_AGAP0","XM_311424.2","XP_311424.1"
"CSE1L","1006","S.pombe","kap109","NM_001021440.1","NP_595530.1"
"CSE1L","1006","S.cerevisiae","CSE1","CSE1_6321198","NP_011276.1"
"CSE1L","1006","K.lactis","KLLA0A0086","XM_451037.1","XP_451037.1"
"CSE1L","1006","E.gossypii","AGOS_AFR27","NM_211175.1","NP_985820.1"
"CSE1L","1006","M.grisea","MGG_03994","XM_361520.2","XP_361520.2"
"CSE1L","1006","N.crassa","NCU04104.1","XM_323443.1","XP_323444.1"
"CSE1L","1006","A.thaliana","AT2G46520","NM_130217.3","NP_182175.1"
"CSE1L","1006","O.sativa","Os01g02354","NM_001049057.1","NP_001042522.1"
"CSF1","7282","H.sapiens","CSF1","NM_000757.4","NP_000748.3"
"CSF1","7282","P.troglodytes","CSF1","XM_513655.2","XP_513655.2"
"CSF1","7282","C.lupus","CSF1","XM_849507.1","XP_854600.1"
"CSF1","7282","B.taurus","CSF1","NM_174026.1","NP_776451.1"
"CSF1","7282","M.musculus","Csf1","NM_007778.3","NP_031804.2"
"CSF1","7282","R.norvegicus","Csf1","NM_023981.4","NP_076471.3"
"CSF1R","3817","H.sapiens ","CSF1R ","NM_005211.3 ","NP_005202.2"
"CSF1R","3817","C.lupus ","CSF1R ","XM_546306.2 ","XP_546306.2"
"CSF1R","3817","B.taurus ","CSF1R ","NM_001075403.1 ","NP_001068871.1"
"CSF1R","3817","M.musculus ","Csf1r ","NM_001037859.2 ","NP_001032948.2"
"CSF1R","3817","R.norvegicus ","Csf1r ","NM_001029901.1 ","NP_001025072.1"
"CSF1R","3817","G.gallus ","CSF1R ","XM_414597.2 ","XP_414597.2"
"CSF1R","3817","D.rerio ","csf1r ","NM_131672.1 ","NP_571747.1"
"CSF1R","3817","D.rerio ","LOC568405 ","XM_001919789.1 ","XP_001919824.1"
"CSF1R","3817","D.rerio ","LOC1001498","XM_001918777.1 ","XP_001918812.1"
"CTGF","1431","H.sapiens","CTGF","NM_001901.2","NP_001892.1"
"CTGF","1431","P.troglodytes","CTGF","XM_518744.2","XP_518744.2"
"CTGF","1431","B.taurus","CTGF","NM_174030.2","NP_776455.1"
"CTGF","1431","M.musculus","Ctgf","NM_010217.1","NP_034347.1"
"CTGF","1431","R.norvegicus","Ctgf","NM_022266.2","NP_071602.1"
"CTGF","1431","G.gallus","CTGF","NM_204274.1","NP_989605.1"
"CTGF","1431","D.rerio","ctgf","NM_001015041.1","NP_001015041.1"
"CTNNB1","1434","H.sapiens ","CTNNB1 ","NM_001098209.1 ","NP_001091679.1"
"CTNNB1","1434","P.troglodytes ","CTNNB1 ","XM_001138191.1 ","XP_001138191.1"
"CTNNB1","1434","C.lupus ","CTNNB1 ","XM_856043.1 ","XP_861136.1"
"CTNNB1","1434","B.taurus ","CTNNB1 ","NM_001076141.1 ","NP_001069609.1"
"CTNNB1","1434","M.musculus ","Ctnnb1 ","NM_007614.2 ","NP_031640.1"
"CTNNB1","1434","R.norvegicus ","Ctnnb1 ","NM_053357.2 ","NP_445809.2"
"CTNNB1","1434","G.gallus ","CTNNB1 ","NM_205081.1 ","NP_990412.1"
"CTNNB1","1434","D.rerio ","ctnnb1 ","NM_131059.2 ","NP_571134.2"
"CTNNB1","1434","D.melanogaster ","arm ","NM_057317.3 ","NP_476665.2"
"CTNNB1","1434","A.gambiae ","AgaP_AGAP0","XM_309245.4 ","XP_309245.4"
"CTNNB1","1434","C.elegans ","hmp-2 ","NM_061165.4 ","NP_493566.1"
"CTSC","1373","H.sapiens","CTSC","NM_001814.4","NP_001805.3"
"CTSC","1373","P.troglodytes","CTSC","XM_508684.2","XP_508684.2"
"CTSC","1373","C.lupus","CTSC","XM_535784.2","XP_535784.2"
"CTSC","1373","C.lupus","CTSC","XM_533981.2","XP_533981.2"
"CTSC","1373","B.taurus","CTSC","NM_001033617.1","NP_001028789.1"
"CTSC","1373","M.musculus","Ctsc","NM_009982.3","NP_034112.2"
"CTSC","1373","R.norvegicus","Ctsc","NM_017097.1","NP_058793.1"
"CTSC","1373","G.gallus","CTSC","XM_417207.2","XP_417207.1"
"CTSC","1373","D.rerio","ctsc","NM_214722.1","NP_999887.1"
"CTSC","1373","P.falciparum","PFL2290w","XM_001350826.1","XP_001350862.1"
"CTSC","1373","P.falciparum","PF11_0174","XM_001347809.1","XP_001347845.1"
"CTSF","31194","H.sapiens","CTSF","NM_003793.3","NP_003784.2"
"CTSF","31194","C.lupus","CTSF","XM_533219.2","XP_533219.2"
"CTSF","31194","B.taurus","CTSF","NM_001075416.1","NP_001068884.1"
"CTSF","31194","M.musculus","Ctsf","NM_019861.1","NP_063914.1"
"CTSF","31194","R.norvegicus","Ctsf","NM_001034110.1","NP_001029282.1"
"CTSF","31194","D.rerio","ctsf","NM_001077568.1","NP_001071036.1"
"CTSF","31194","D.melanogaster","CG12163","NM_169033.2","NP_730901.1"
"CTSF","31194","A.gambiae","AgaP_AGAP0","XM_312034.4","XP_312034.4"
"CTSF","31194","C.elegans","tag-196","NM_072814.2","NP_505215.2"
"CTSF","31194","A.thaliana","AT3G54940","NM_202706.2","NP_974435.1"
"CTSF","31194","O.sativa","Os07g04809","NM_001066174.1","NP_001059639.1"
"CTSH","36159","H.sapiens","CTSH","NM_004390.3","NP_004381.2"
"CTSH","36159","P.troglodytes","CTSH","XM_001153217.1","XP_001153217.1"
"CTSH","36159","C.lupus","CTSH","XM_536212.2","XP_536212.2"
"CTSH","36159","B.taurus","CTSH","NM_001034385.1","NP_001029557.1"
"CTSH","36159","M.musculus","Ctsh","NM_007801.1","NP_031827.1"
"CTSH","36159","R.norvegicus","Ctsh","NM_012939.1","NP_037071.1"
"CTSH","36159","G.gallus","CTSH","XM_001232764.1","XP_001232765.1"
"CTSH","36159","D.rerio","ctsh","NM_212688.1","NP_997853.1"
"CTSH","36159","A.thaliana","AT3G45310","NM_114400.3","NP_566880.1"
"CTSH","36159","A.thaliana","AALP","NM_125429.3","NP_568921.1"
"CTSH","36159","O.sativa","Os09g04423","NM_001069824.1","NP_001063289.1"
"CTSL1","112271","H.sapiens","CTSL1","NM_001912.4","NP_001903.1"
"CTSL1","112271","P.troglodytes","CTSL1","XM_001137800.1","XP_001137800.1"
"CTSL1","112271","B.taurus","CTSL1","NM_001083686.1","NP_001077155.1"
